通信区块,DB块,地址偏移,长度(Byte),数据格式,数据类型,Set By,Reset By,Bit标题/字段名,Bit位号,变量说明,备注
MASTER TO PLC,DB201,0,1,BYTE,BOOL,MASTER,MASTER,心跳,0,上位机心跳信号,每1秒复位/翻转一次，超过10秒无变化则PLC报警
MASTER TO PLC,DB201,0,1,BYTE,BOOL,MASTER,MASTER,初始化完成,1,MES初始化完成标志,每次系统可执行新流程时置 True
MASTER TO PLC,DB201,0,1,BYTE,BOOL,MASTER,PLC,上位机回复到位信号,2,MES收到PLC产品到位信号后的应答,MES置 True，PLC收到后执行作业判断
MASTER TO PLC,DB201,0,1,BYTE,BOOL,MASTER,PLC,是否作业信号,3,MES判定该产品是否允许作业,True=可作业，False=不可作业
MASTER TO PLC,DB201,0,1,BYTE,BOOL,MASTER,PLC,上位机回复完成信号,4,MES收到PLC完成信号后的应答,MES置 True，PLC收到后复位流程
MASTER TO PLC,DB201,0,1,BYTE,BOOL,,,预留,5,预留位,
MASTER TO PLC,DB201,0,1,BYTE,BOOL,,,预留,6,预留位,
MASTER TO PLC,DB201,0,1,BYTE,BOOL,,,预留,7,预留位,
MASTER TO PLC,DB201,1,1,BYTE,BOOL,MASTER,PLC,上位机回复到位信号2,0,第二工位到位应答,MES收到PLC产品到位后置 True
MASTER TO PLC,DB201,1,1,BYTE,BOOL,MASTER,PLC,是否作业信号2,1,第二工位作业许可,True=可作业，False=不可作业
MASTER TO PLC,DB201,1,1,BYTE,BOOL,MASTER,PLC,上位机回复完成信号2,2,第二工位完成应答,MES收到PLC完成信号后置 True
MASTER TO PLC,DB201,1,1,BYTE,BOOL,,,预留,3,预留位,
MASTER TO PLC,DB201,1,1,BYTE,BOOL,,,预留,4,预留位,
MASTER TO PLC,DB201,1,1,BYTE,BOOL,,,预留,5,预留位,
MASTER TO PLC,DB201,1,1,BYTE,BOOL,,,预留,6,预留位,
MASTER TO PLC,DB201,1,1,BYTE,BOOL,,,预留,7,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,0,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,1,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,2,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,3,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,4,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,5,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,6,预留位,
MASTER TO PLC,DB201,2,1,BYTE,BOOL,,,预留,7,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,0,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,1,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,2,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,3,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,4,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,5,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,6,预留位,
MASTER TO PLC,DB201,3,1,BYTE,BOOL,,,预留,7,预留位,
MASTER TO PLC,DB201,4,1,BYTE,BYTE,MASTER,MASTER,产品类型-配方,,产品型号/配方编号,PLC依据此值选择工艺参数
MASTER TO PLC,DB201,5,1,BYTE,BYTE,,,预留,,预留字节,
MASTER TO PLC,DB201,6,40,BYTE,CHAR[40],MASTER,PLC,SN,,产品条码字符串,用于产品上线（含返修/转线）；ASCII编码，不足40字节以0x00补齐
MASTER TO PLC,DB201,46,2,BYTE,WORD,,,预留,,预留字,
MASTER TO PLC,DB201,48,2,BYTE,WORD,,,预留,,预留字,
MASTER TO PLC,DB201,50,2,BYTE,WORD,,,预留,,预留字,
MASTER TO PLC,DB201,52,2,BYTE,WORD,,,预留,,预留字,
MASTER TO PLC,DB201,54,2,BYTE,WORD,,,预留,,预留字,
MASTER TO PLC,DB201,56,20,质量数据结构,BYTES,PLC,PLC,工位质量数据1,,工位1质量结果数据块,详见工位质量数据结构定义，流程结束后PLC复位
MASTER TO PLC,DB201,76,20,质量数据结构,BYTES,PLC,PLC,工位质量数据2,,工位2质量结果数据块,可扩展至10组（地址=56+(N-1)×20）
MASTER TO PLC,DB201,96,20,质量数据结构,BYTES,PLC,PLC,工位质量数据3,,工位3质量结果数据块,
MASTER TO PLC,DB201,116,20,质量数据结构,BYTES,PLC,PLC,工位质量数据4,,工位4质量结果数据块,
MASTER TO PLC,DB201,136,20,质量数据结构,BYTES,PLC,PLC,工位质量数据5,,工位5质量结果数据块,
MASTER TO PLC,DB201,156,20,质量数据结构,BYTES,PLC,PLC,工位质量数据6,,工位6质量结果数据块,
MASTER TO PLC,DB201,176,20,质量数据结构,BYTES,PLC,PLC,工位质量数据7,,工位7质量结果数据块,
MASTER TO PLC,DB201,196,20,质量数据结构,BYTES,PLC,PLC,工位质量数据8,,工位8质量结果数据块,
MASTER TO PLC,DB201,216,20,质量数据结构,BYTES,PLC,PLC,工位质量数据9,,工位9质量结果数据块,
MASTER TO PLC,DB201,236,20,质量数据结构,BYTES,PLC,PLC,工位质量数据10,,工位10质量结果数据块,最大工位数量
