通信区块,DB块,地址偏移,长度(Byte),数据格式,数据类型,Set By,Reset By,Bit标题/字段名,Bit位号,变量说明,备注
PLC TO MASTER,DB200,0,1,BYTE,BOOL,PLC,PLC,心跳,0,PLC心跳信号,每1秒翻转一次，MES超过10秒无变化报警
PLC TO MASTER,DB200,0,1,BYTE,BOOL,PLC,MES,产品到位信号,1,产品到站请求MES处理,MES收到后开始校验SN/配方
PLC TO MASTER,DB200,0,1,BYTE,BOOL,PLC,PLC,完成信号,2,工站动作/流程完成,等待MES应答回复完成信号
PLC TO MASTER,DB200,0,1,BYTE,BOOL,PLC,PLC,设备故障信号,3,设备异常标志,MES可触发报警/记录
PLC TO MASTER,DB200,0,1,BYTE,BOOL,PLC,PLC,治具到位信号,4,治具/夹具状态有效,可选，视现场实际定义
PLC TO MASTER,DB200,0,1,BYTE,BOOL,,,预留,5,预留位,
PLC TO MASTER,DB200,0,1,BYTE,BOOL,,,预留,6,预留位,
PLC TO MASTER,DB200,0,1,BYTE,BOOL,,,预留,7,预留位,
PLC TO MASTER,DB200,1,1,BYTE,BOOL,PLC,MES,产品到位信号2,0,第二工位到站请求,MES收到后返回到位应答2
PLC TO MASTER,DB200,1,1,BYTE,BOOL,PLC,MES,完成信号2,1,第二工位流程完成,等待MES应答完成信号2
PLC TO MASTER,DB200,1,1,BYTE,BOOL,,,预留,2,预留位,
PLC TO MASTER,DB200,1,1,BYTE,BOOL,,,预留,3,预留位,
PLC TO MASTER,DB200,1,1,BYTE,BOOL,,,预留,4,预留位,
PLC TO MASTER,DB200,1,1,BYTE,BOOL,,,预留,5,预留位,
PLC TO MASTER,DB200,1,1,BYTE,BOOL,,,预留,6,预留位,
PLC TO MASTER,DB200,1,1,BYTE,BOOL,,,预留,7,预留位,
PLC TO MASTER,DB200,4,1,BYTE,BYTE,PLC,PLC,当前产品类型,,PLC当前识别到的产品类型,可用于MES交叉校验
PLC TO MASTER,DB200,5,1,BYTE,BYTE,,,预留,,预留字节,
PLC TO MASTER,DB200,6,40,BYTE,CHAR[40],PLC,PLC,SN（设备读码结果）,,设备读码器扫描到的条码,提供给MES校验/过站
PLC TO MASTER,DB200,46,2,BYTE,WORD,PLC,PLC,结果码,,流程结果码,0=OK，非0=NG/异常，具体编码另定义
PLC TO MASTER,DB200,48,2,BYTE,WORD,PLC,PLC,异常码,,设备异常编号,0=正常，非0=具体异常原因编码
PLC TO MASTER,DB200,50,2,BYTE,WORD,,,预留,,预留字,
PLC TO MASTER,DB200,52,2,BYTE,WORD,,,预留,,预留字,
PLC TO MASTER,DB200,54,2,BYTE,WORD,,,预留,,预留字,
PLC TO MASTER,DB200,56,20,质量数据结构,BYTES,PLC,PLC,工位质量数据1,,工艺质量结果，工位1,MES读取后入数据库
PLC TO MASTER,DB200,76,20,质量数据结构,BYTES,PLC,PLC,工位质量数据2,,工艺质量结果，工位2,最大10组（地址=56+(N-1)×20）
PLC TO MASTER,DB200,96,20,质量数据结构,BYTES,PLC,PLC,工位质量数据3,,工艺质量结果，工位3,
PLC TO MASTER,DB200,116,20,质量数据结构,BYTES,PLC,PLC,工位质量数据4,,工艺质量结果，工位4,
PLC TO MASTER,DB200,136,20,质量数据结构,BYTES,PLC,PLC,工位质量数据5,,工艺质量结果，工位5,
PLC TO MASTER,DB200,156,20,质量数据结构,BYTES,PLC,PLC,工位质量数据6,,工艺质量结果，工位6,
PLC TO MASTER,DB200,176,20,质量数据结构,BYTES,PLC,PLC,工位质量数据7,,工艺质量结果，工位7,
PLC TO MASTER,DB200,196,20,质量数据结构,BYTES,PLC,PLC,工位质量数据8,,工艺质量结果，工位8,
PLC TO MASTER,DB200,216,20,质量数据结构,BYTES,PLC,PLC,工位质量数据9,,工艺质量结果，工位9,
PLC TO MASTER,DB200,236,20,质量数据结构,BYTES,PLC,PLC,工位质量数据10,,工艺质量结果，工位10,最大工位数量
